,username,location,text,hashtags,tweet_date
3146,Kim Lundgren Associates,"Boston, MA","Climate change? Global warming? Climate Crisis? ""The overall takeaway is that journalists and climate advocates might be getting too hung up on specific words when the bigger picture is much more important."" https://t.co/ZJDXxnRTuk",[],2021-11-30 19:04:20
3147,Nicholas in Seattle,Greater Seattle area,"""One person embarks on a quest to solve the riddle of Global Warming &amp; Climate Change, in an attempt to save our lives and planet. While doing so, they stumble upon what appears to be 'an underlying current' as-well a possible key to ending the crisis... On Amazon now https://t.co/wh5LCiwndR",[],2021-11-30 19:02:35
3148,Brijesh Singh,,"@ks_rohit10 @republic Bitcoin’s annual energy consumption has risen from 9.6 TWh (terawatt-hours) in February 2017 to 73.2 TWh in January 2020;

A report by Nature Climate Change informed that Bitcoin alone could produce enough CO2 emissions to push global warming above 2°C in less than three decades.",[],2021-11-30 18:54:16
3149,Terry Horrocks,"Essex, MD","@SenatorCardin You have been in elected office for more than 60 years. 1st we heard of the next ice age…need money…. Then global warming…need money… now climate change you guessed it need money…. No thanks you are the problem, not the solution. Resign and let a person of color have a chanc",[],2021-11-30 18:53:43
3150,Louis Grenier,Montreal,@CPita3 @lisa_iannattone Wordsmithing like when Global Warming was changed to Climate Change.,[],2021-11-30 18:51:26
3151,Old Windbag,,"@BusaFabio @jenbarrios12 @SeosQuinn If you don't like those words try saying ""Fossil fools !"". We are warming up and it has caused a bit of bad weather this year, all helped along by man made global warming+climate change. https://t.co/QCqfBKq4tf https://t.co/ifzjRvjLmK https://t.co/5GsWg6WD1d https://t.co/dumC4yjpaw",[],2021-11-30 18:42:21
3152,anon,,@OpIndia_com @rahulroushan Adding more pipelines without any concern for environment. PVC pipes is contributing to global warming and climate change - south delhi ki lavanya,[],2021-11-30 18:37:33
3153,Edgs,Ciudad de México,Exaggerating the consequences of climate change and down playing global progress doesn’t help to reduce global warming. The idea of demanding more with the aim of achieving the minimal leads to unwanted consequences. No “helpful lies” and realistic goals and demands.,[],2021-11-30 18:27:46
3154,BSCG Scotland,Scottish Highlands,"Mentions donations to campaign of Boris Johnson included “a director of the Global Warming Policy Forum, an arm of... a climate change sceptic group. ...accused ... of being ""the UK's main climate science denial campaign group."" https://t.co/FC2TtlN1hV #ClimateChangeIsReal","[{'text': 'ClimateChangeIsReal', 'indices': [253, 273]}]",2021-11-30 18:19:49
3155,RCU,,The is a reason they don't call it global warming anymore. Its a bullshit attempt for more control. AS USUAL... https://t.co/155qmkMAmo via @Yahoo,[],2021-11-30 18:16:28
3156,"Louise, Prof/Dr",Possibly on Caledonian Sleeper,"Oh for goodness sake. Masks are not the end of the world. Climate change might be. But then Steve Baker doesn't really believe in global warming, apparently. https://t.co/Lx4z4jA3Ij https://t.co/pIVqklfh0h",[],2021-11-30 18:10:56
3157,Oceanwire,The Great Pacific Northwest,".
Oregonians! Researchers are asking YOU to take photos to help document sea-level rise during king tide event
by @m0nica10 #ClimateEmergency 
https://t.co/NOMV7DH5Jl","[{'text': 'ClimateEmergency', 'indices': [124, 141]}]",2021-11-30 18:10:43
3158,Rebel Scum (he/him),A place that's on fire.,@GildasMcmurty @GBNEWS Nov 19 EWE:  A new book exposes systemic shortcomings in the way global warming is taught in America.  https://t.co/ljNxELz5Jg,[],2021-11-30 18:10:34
3159,João Paulo Mendes Silva,"São Paulo, Brasil","@UN @UNEP @EU_Commission @POTUS @VP @WhiteHouse @ASEAN @KremlinRussia_E @BorisJohnson @GOVUK @TheChineseGovt Dear All, Jair Bolsonaro doesn't mind about Global Warming, Climate Change or if  Amazonia is burning. He's also a negationist of the Covid pandemic. He’s a big problem!",[],2021-11-30 18:04:57
3160,Justin Careesi (Zeta variant),"SF, CA","@blesseraux @BretWeinstein that is indeed very often how the names of things are chosen. doesn't mean it's true, just credible. this is, for example, why se say ""climate change"" instead of ""global warming"" now. That name came from a marketing-style study (Luntz)",[],2021-11-30 18:03:56
3161,XRscout,United Kingdom,"Big #oil has never taken the doomist approach. Instead they have just failed to tell us they knew about climate changes impact while making their business resilient, but they did it secretly.

https://t.co/otXItGR71a

What is Mann on about?

https://t.co/0CCXp0aDgg","[{'text': 'oil', 'indices': [4, 8]}]",2021-11-30 18:02:00
3162,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, NC","#climatechange Links to CLIMATE CHANGE #climate #change #global #warming #JoeBiden #nature #preserve_nature
https://t.co/QCcFzGAdD2 https://t.co/rfxXx7zsxS","[{'text': 'climatechange', 'indices': [0, 14]}, {'text': 'climate', 'indices': [39, 47]}, {'text': 'change', 'indices': [48, 55]}, {'text': 'global', 'indices': [56, 63]}, {'text': 'warming', 'indices': [64, 72]}, {'text': 'JoeBiden', 'indices': [73, 82]}, {'text': 'nature', 'indices': [83, 90]}, {'text': 'preserve_nature', 'indices': [91, 107]}]",2021-11-30 17:59:59
3163,NOAAandNASAareRight,,"@wattsupwiththat Of course Arctic rivers are changing!  Less Arctic ice is accumulating in winter, and more is melting in summer - due to Global Warming.  See:

https://t.co/sjGml6cR1B

https://t.co/AEwbMmSxZ4

https://t.co/I3qHqREelE",[],2021-11-30 17:58:18
3164,bees are cool and nice,he/they,"@Merc59479219 @JAREDandSARAH @CBSNews &amp; what’s also weird is it looks like global warming is slowing the ocean currents, so then I tried to find how this usually happens based on another beached anglerfish from last may, &amp; apparently no one knows that either, so - 4/

https://t.co/Z13zTxgJhO

https://t.co/oGD3wgRxNW",[],2021-11-30 17:54:31
3165,karan veer singh,,"Contemporary climate change includes both the global warming caused by humans, and its impacts on Earth's weather patterns. There have been previous periods of climate change, but the current changes are more rapid than any known events in Earth's history. https://t.co/1B8FzOiy50",[],2021-11-30 17:54:07
3166,Bill Ball,"Las Vegas, NV","2.
... of a new ""Ice Age"" back in the 1970's!
and,
Al Gore predicted Global warming would flood Florida by 2012, (at the place Nancy Polosi just purchased a retirement mansion)! - ARE NO LONGER FOOLED!
.
Friends, ALL ""Climate Change"" proponents are in a CULT that  (Cont...)",[],2021-11-30 17:50:17
3167,Oregon King Tides,Coastal Oregon,Researchers are asking Oregonians to take photos to help document sea-level rise during king tide event https://t.co/UMOl5LhXrk,[],2021-11-30 17:48:26
3168,Pledgeio,"London, England",Getting organised and taking action is the best way to move the world forward. You want to take action on global warming/climate change? Start off on our platform. #climatechange #globalwarming,"[{'text': 'climatechange', 'indices': [164, 178]}, {'text': 'globalwarming', 'indices': [179, 193]}]",2021-11-30 17:47:01
3169,brocknoxious,,"@DexColt82 Time Magazine has done the same BS w/ climate issues: ""coming ice age"", ""acid rain"", ""the big freeze""...to, ""global warming"", ""no more polar bears"", ""climate change"". smh 

It's all a BIG HOAX!! 

#DemHoaxes","[{'text': 'DemHoaxes', 'indices': [208, 218]}]",2021-11-30 17:37:29
3170,Captain Beefy,,I'm almost 52.  I survived the cold war.  An impending ice age.  A hole in the ozone.  Acid rain.  Global warming.  Y2K.  The Mayan calendar.  Climate change.  Why do you expect me to be afraid of a flu?,[],2021-11-30 17:36:43
3171,Leaders Ecoblogs,,"@pattc285  China Is Holding the Planet Hostage 
                        China’s inadequate efforts to tackle climate change will likely undermine the credibility of governments in open societies. And if the world fails to limit global warming to https://t.co/7a7hvape9k",[],2021-11-30 17:35:42
3172,biffmack-MyPresidentLivesinFlorida,93 million miles+/- from Earth,"@LaLaboomdeyay @AndreaBotos2 @_Citizen_Se7en I've been part of a thread dealing with Accelerated Anthropogenic Global Warming Climate Change Disruption Emergency (AAGWCCDE) when the topic of windmills &amp; birds came up. Someone presented an article dealing with the topic so I critiqued it but never ""heard"" back. Happens lots. https://t.co/zS132g7q2R",[],2021-11-30 17:30:00
3173,John L. Grafft,365 million Acres,@rothwel the world to follow and whose leaders intent is to enhance all American lives not just the rich and greedy with attention to climate change climate shifting and global warming issues on the ever present human footprint 👣.,[],2021-11-30 17:26:22
3174,Mirek,,"@Lesqueenb Global warming’s a bitch, no sorry scrub that, climate change is a bitch, must keep up to date with the narrative.",[],2021-11-30 17:19:34
3175,✨angge✨,🇵🇭,@yiIingribbon it's global warming and climate change and mother nature is coming for our asses by december next year we're gonna have acid rain 😩😩😭😭,[],2021-11-30 17:17:57
3176,Stanley Grill,,"@SteveDaines You’re their Senator. Why don’t you try telling Montana families why going electric is good for them? They live in the world too and won’t remain untouched by global warming. But, you’d rather bury your head in the sand and pretend climate change isn’t happening.",[],2021-11-30 16:55:15
3177,EDF,"New York, New York","Amazing @wired look at how climate change causes high-speed evolution using examples of lizard, squid and arctic bird species. Taking cues on how nature adapts vs. global warming can inspire solutions. 

https://t.co/d8fDoraK0j",[],2021-11-30 16:55:02
3178,Intheyear2525,"British Columbia, Canada","@DefiantLs CLIMATE CHANGE IS FAKE NEWS 😡 POLLUTION , deforestation are the worlds problem the terms climate change/ global warming avoid and divert the real issues stated above and must be banned from use its preventing solutions from being found😠",[],2021-11-30 16:52:12
3179,Jim Bowers,,"@nandolar13 @PeterSweden7 ""They"" for no such thing - it was Bush that changed it to climate change because focus groups found global warming too scary.  It hasn't stopped warming https://t.co/C1xfal8H19",[],2021-11-30 16:49:05
3180,Nick Squires,Rome,"Race against time to preserve artifacts from WW1's highest combat zone, high up in the Italian Alps, as global warming causes snow and ice to melt @csmonitor 
https://t.co/lkxFuqvM1m",[],2021-11-30 16:48:03
3181,ckcharles,Saint Albert,"@PeterFa58397212 @lisakeb007 These ppl died of the ""flu!"" The Wuhan flu is like any other flu except that it has been given a scary name. SARS wasn't scary enough and neither was H1N1 (or whatever..)

Acid rain, ozone depletion, global warming, weren't effective either so it was re-branded, climate change. https://t.co/qOUybmUDav",[],2021-11-30 16:46:43
3182,Jim Bowers,,@hall_robert @PeterSweden7 @JOHjohJOH12 Nope.  It was republican super liar Frank Lutz that convinced bush to call it climate change - focus groups found the term global warming to be scary.  It's always a con with the right,[],2021-11-30 16:42:47
3183,"#MentalHealthAwareness matters to us all,take care","Profile photo in Maui, Hawaii","On Friday I will be thrilled to be at South Slough Reserve https://t.co/cWasu4mzEA taking pictures of the king tide as a citizen researcher. I encourage others to help too.
https://t.co/miRRlcemiY",[],2021-11-30 16:41:43
3184,Jim Bowers,,@mhl1979 @PeterSweden7 It's still very much global warming.  It was cooling in the 70's because of sulfate aerosols from burning high sulfur coal.  Bush changed it to climate change because global warming sounded too scary.  Not scientists.  Things happen for a reason and it's not what you say,[],2021-11-30 16:37:59
3185,Cherokeekat,The Great State Of Texas,"Nancy Pelosi just bought a 11,000 square foot $25 million mansion in Florida. Someone doesn't want to pay exorbitant taxes in her home state she has ruined. Climate change and global warming thrown out the door.",[],2021-11-30 16:35:12
3186,John L. Grafft,365 million Acres,So pardon me if this Alaska independent turn Democrat doesn’t believe that dinosaur technology is the best thing for an environment struggling with climate change climate shifting and global warming issues on the ever present human footprint I believe in science and⬇️,[],2021-11-30 16:34:22
3187,John L. Grafft,365 million Acres,Delusional Trump and Trump Republicans keep sending messages out there but there’s no such thing as the virus it’s all a hoax just like global warming climate change climate shifting and the other presence here⬇️,[],2021-11-30 16:32:18
3188,Sheltiemom,,"In November, the region of the state where we live has had consistently below average temperatures - really cold, snow x 3 even before winter officially begins in December. Climate change/global warming crowd always brays some kind of rationale when temps go lower than normal.",[],2021-11-30 16:18:57
3189,Sheltiemom,,Leading climate change activist looks to mobilize older Americans https://t.co/2MauPvZNfE via @Yahoo: Climate change/global warming is an industry. If people want to embrace them and are too lazy or indoctrinated to dig deeper they are barking up the wrong tree.,[],2021-11-30 16:14:35
3190,Cindy Hatmaker,"LaFollette, TN","@PhilWat10873351 @Natem991 @benshapiro Really? Here's what's being said... Climate change = global warming = water levels rising world wide. Why would you spend millions of dollars on a piece of property that has no sustainable ""eco-future"". Are they planning to live in New Atlantis? 🙄 No... So ... It's all BS",[],2021-11-30 16:13:23
3191,Sea(nấm hương),"Scalloptown, RI","Advocates for tackling climate change are the worst issue advocates on this app.

It takes them no time to show the real reason they want to stop global warming: they don't want a fucked planet for themselves or their children. https://t.co/XOsaItaZtF",[],2021-11-30 16:13:10
3192,Ken Herzberg,Texas,"Worth watch and read.

Personally, I think I've seen this occurring for twenty years.

Example...trace the papers and articles on climate change global warming since Clinton presidency.

Aggregate of 'journals' about science shifted to social science.

Which allows subjectivity. https://t.co/VyNdPiwU9s",[],2021-11-30 16:01:23
3193,Andy Nolan,Sheffield / Nottingham mostly,Our universities are crucial to understanding not only how to reduce global warming but also how to cope with climate change – adaptation and resilience to future climates is vital.,[],2021-11-30 15:57:29
3194,Glen Gooner,,"@fumefox Climate change , Global warming :)",[],2021-11-30 15:56:04
3195,"Vijay Limaye, PhD",,"Career goal achieved - a quote in @ELLEmagazine for an article on how climate change is affecting the beauty products industry 💄🛍️🔥
https://t.co/WQRMQoRxxi https://t.co/bllbcMBjwR",[],2021-11-30 15:45:32
3196,CGRER,University of Iowa,"Albatrosses, large seabirds that are known for mating for life, are “divorcing” because of global warming according to a new study conducted by New Zealand’s Royal Society.
https://t.co/0Uixa8WyYe",[],2021-11-30 15:36:00
3197,Jesse Oresnik,,"Wait, I thought global warming was gonna bring more, stronger hurricanes. But we saw a STEEP drop in major hurricanes, total hurricanes, and tropical storms. Guess we won't hear about that, since it doesn't support the lib climate change agenda.
#HurricaneSeason","[{'text': 'HurricaneSeason', 'indices': [246, 262]}]",2021-11-30 15:32:57
3198,America is Being Stolen by Communists,"Texas, USA","@Paul204731131: “Global Warming” working until more freezing so then powers that be had 2 rename it “climate change” in order 2 keep hoax going; otherwise they lose control of ripping off Americans, giving our tax $$ 2 other countries &amp; then getting $$ kick backs 2 their pockets",[],2021-11-30 15:26:46
3199,Dennis Dehne,,"@RobertL43797742 @jimoxe Question:  How much money did the thousands of scientists receive to support man-made global warming?  (Now Climate Change).
Second Question:  How much money would they have received if their research concept was to disprove man-made Climate Change?  NONE.",[],2021-11-30 15:24:43
3200,Wiley Ecology & Evolution,Global,"Global warming and #climatechange is threatening the future of the Great Barrier Reef.

Scientists have captured the annual coral spawn, a positive sign of regeneration for the Reef.

Read more here (@GlobalChangeBio) ⤵️ https://t.co/CBzjeEEAHM","[{'text': 'climatechange', 'indices': [19, 33]}]",2021-11-30 15:02:32
3201,Abraham Hoffman,,"@mtgreenee @catturd2 @HouseGOP Why don't true cons in @GOP say more about the global warming climate change hoax that is a cornerstone of the Dems' socialist agenda? A hoax being promoted by @NASA, @TheNASEM, &amp; every significant scientific org! @NASAClimate @ClimateReality @CNN @MSNBC https://t.co/APqZedWCHQ",[],2021-11-30 14:50:04
3202,JDavey,Ontario,"@OmarAlghabra More trains, less planes, please! 
https://t.co/r9wp9Xaq8b",[],2021-11-30 14:45:18
3203,Mark Patton #ThePrudentManager,Republic of Korea,"@KamVTV I dunno...in my lifetime I've LITERALLY DIED from
- The Coming Ice Age
- Global Warming
- Y2K
- Climate Change
- Overpopulation
- Acid Rain
- The Ozone Hole
- Systemic Racism
- White Supremacy
- and of course -
- The #KungFlu","[{'text': 'KungFlu', 'indices': [225, 233]}]",2021-11-30 14:26:30
3204,T S P,Humberside,"1988: Global warming, Climate Change hit our lives to define our future.

1988: Bullingdon Club. Cameron, Osborne, Johnson lives define the 80s, the 1880s that is. https://t.co/DYfSAo0LbC",[],2021-11-30 14:17:47
3205,Thomas Belt,"Oklahoma City, OK","@pretentiouscox Also Eli, I like the globe and hourglass by your name. Are you a student of the threats inherent in global warming and abrupt climate change? If so, you could add a thermometer (if they have one) after the hourglass and it'd be perfect! 😉",[],2021-11-30 14:14:41
3206,Ike Raggi,Ohio State University (alumni),"@JamezCh @davemichigander @Honda ""Climate change is a normal natural occurrence.""

Okay, so, is man-made global warming theory a hoax?",[],2021-11-30 14:13:20
3207,Koolmill Systems Ltd.,Solihull,"Does Global Warming Make Rice Taste Better?

https://t.co/CXCPrG6QGY",[],2021-11-30 14:05:40
3208,FAU Center for Environmental Studies,"Davie, FL",COP26 Prepared the World to Beat Climate Change - https://t.co/3tMzTgWYX3,[],2021-11-30 14:02:34
3209,Царь Джон Марка I,𐤂𐤁𐤋,"I thought climate change and global warming were causing all them blood clots, turns out it’s the cold weather 🤡 https://t.co/kXBI7qmgVk",[],2021-11-30 13:57:46
3210,James sparrow#gbnews🇬🇧🇬🇧🇦🇺🇦🇺🇬🇧🇬🇧🇬🇧,"Bristol, England",What ever happened to global warming and climate change,[],2021-11-30 13:50:51
3211,taylor \m/ @ ushi/iwa week!,25 • she/her • 18+,everyday i’m reminded of iwaizumi being one of the strongest in the hq universe is a day closer we are to ending climate change and global warming for good,[],2021-11-30 13:42:43
3212,Steve Milloy,,"Poorly engineered/constructed roads, roads in risky areas and normal wear-and-tear blamed on global warming.

https://t.co/DklWd2LjFa",[],2021-11-30 13:34:54
3213,Jeppe Kleyngeld,"Schermerhorn, The Netherlands",Nobody Mentioned Scorpions: Global Warming’s Secondary Effects Sting - Climate change doesn’t just mean calamity. It also means endless hassles - https://t.co/ntQyIxc6we,[],2021-11-30 13:34:49
3214,T.J.  Del Santo ⚡🔭,"Providence, RI","@jim38755065 @KaylaFishTV @wpri12 you can have colder than average days with climate change.   If we were headed into an Ice Age, we could still have above normal temperatures.  One weather event is not necessarily related to climate change/global warming.",[],2021-11-30 13:05:44
3215,Abbie Andrews,,"@JoeEason1 @watermole6 @CallMeEOnly @badibulgator @keigh_see @JMichaelsonUT @kayenne22 @PrismPrime @Earth_is_FLAT_ @doctorbuttons @LiquidLight89 @telohno @DMR2cor520 @Michael98410246 @Tobga_ @ChickenQuantum @garethkett @JohnnyD_cm @MichaelSteidel @ZoomDi @AstroYogi101 @LaikaAndYuri @MarroniDean @ReillyOToole1 @earthisaglobe @jameswzegan85 @Trilluminarian @spotarse @PTroubleshooter @AiNaTow @TheEarthIsFlat2 @_Casaxova @SurferCosmic @Kev_in_Canada @FlatEarthD @Capt_Scorch @MaidelK @AustralisPiper @_hiddenagenda @JesusTruth1 @noah_nonsense @Captainswoop1 @TakeThatDarwin @KayeTatton @CubeSteve @IEAffiliate @boston_hoax @FactsAreTrumps @R_OG_2021 Well it side tracked into scientists lying about global warming/climate change and from peoples opinions its humans causing it.if they lie about one thing you can be sure they lie about others.
Thats how we got on here",[],2021-11-30 13:00:40
3216,M Cowan,,"Watch ""How Oil Companies Hid the Truth About Climate Change | Global Warming | ENDEVR Documentary"" on YouTube https://t.co/CjhT5OR0WB",[],2021-11-30 12:56:09
3217,The other Nelson,,"@DylanIrvine___ @rafferty_conan @Wardys @WooksAmesbury @metoffice You mean summer in the Southern hemisphere ?

it tends to warm up in Summer, but I guess that is also 
 considered global warming climate change emergency tipping point breakdown catastrophe every year.",[],2021-11-30 12:55:06
3218,John M Sharp,"Rock Hill, SC","Nihilism or action? Neal Stephenson new novel on geo-engineering applied to climate change. 
https://t.co/u3oxK18j5M via @wired",[],2021-11-30 12:52:29
3219,Dugger,,"@NekNamirrem I don’t believe climate change is real, they called it Global Freezing when I was in high school and we weren’t going to be here by 1990 then global warming and now climate change. They’ve yelled wolf to many times for me.",[],2021-11-30 12:51:04
3220,Pam,,"@DawnTJ90 Perhaps that is why left changed the term to “Climate Change”
“Global Cooling” became “Global Warming” became “Climate Change”
All were money makers, tools of control and paving the way to 
Great Reset",[],2021-11-30 12:43:36
3221,𝔻𝕒𝕨𝕟𝕋𝕁𝟡𝟘™ 🇵🇭💖🇨🇦 Climate of Dawn,"Yukon, Canada","@WolfredNelson Warm Days = Climate Change/Global Warming
Cold Days = Weather

😎",[],2021-11-30 12:43:26
3222,Fernando Arriaga,CDMX,Nobody Mentioned Scorpions: Global Warming’s Secondary Effects Sting  https://t.co/JCSY6OdBay,[],2021-11-30 12:32:37
3223,Omicron Variant,In a Dream inside of a dream,"@DavidBellamyUK I don't believe in Gravity because I know it doesn't exist.

When Politicians are talking about Climate Change via Global Warming.

They actually saying that Ice Age is upon the Horizon.",[],2021-11-30 12:29:37
3224,Hemant,Bharat,"@StringReveals @PMOIndia @AmitShah @INCIndia also ""MODI IS THE MALE GRETA THUNBERG""

to know more read this
https://t.co/bmrM7y3MGs

Real cause of climate change
https://t.co/arE6JViLZL

Gandhi was more evil than anybody could imagine
https://t.co/KSUXLgMsqF

https://t.co/bLjUp9Czs5

https://t.co/guJZGFjDEQ https://t.co/juzs2CATH7",[],2021-11-30 12:19:49
3225,Fair Observer,"Mountain View, CA, USA","As sea levels rise, hundreds of millions of people may be at risk around the world.
@russianabout https://t.co/gs4G3JR3Ld",[],2021-11-30 12:00:00
3226,Nature Climate Change News,,"Carbon dioxide emissions creep ahead in Australia as global warming accelerates.

RACE is well on its way to respond to accelerating climate change with swift and profound cuts to greenhouse gas emissions during this decade but recently Federal Government data show that Aust… https://t.co/pfG1kV7TZ9",[],2021-11-30 11:52:22
3227,A.R.D. Consultancy,"Scotland, United Kingdom","There cannot be anyone reading this who hasn't heard about COP26, the conference on climate change and global warming which took place in Glasgow recently.

The question we ask is, what effect – if any – will COP26 have on my savings and investments?

https://t.co/wBHUPfm1OM https://t.co/IUWnOKh290",[],2021-11-30 11:51:00
3228,General Erica,On one of Trillions of Planets,"@ednawelthorpe Well, the first thing that comes to mind - funny or not - is climate change and global warming. 

These two are separate things - global warming being the increase in average temperature over time, and climate change being the change in climate over time - but they overlap.",[],2021-11-30 11:44:15
3229,Edith Kiongera,Kenya,@KentPage @UNICEF @UN Global warming/climate change is one timebomb slowly picking. The problem is that every one thinks it another person's responsibility.,[],2021-11-30 11:40:59
3230,sleek,,"climate change is a serious issue but the joke about it is that climate activists always blame the cows for global warming, I will never understand this....humans and human activities are to solely blame for climate change and global warming",[],2021-11-30 11:37:24
3231,ELLIS CASHMORE,UK,"""According to @Climate Action Tracker (CAT), the #Glasgow agreement has left a major credibility gap, with the planet still on course to produce twice as many emissions by 2030 as are necessary to keep the temperature rise below 1.5˚C"" https://t.co/O0SiZ0bOlY via @myfairobserver","[{'text': 'Glasgow', 'indices': [49, 57]}]",2021-11-30 11:30:56
3232,EHN,"Bozeman, MT","The Oregon Coast is set to experience higher-than-normal tides this weekend, and researchers are asking Oregonians to take photos to help document sea-level rise as climate change worsens. #climate  https://t.co/5quKVI0aPf","[{'text': 'climate', 'indices': [189, 197]}]",2021-11-30 11:25:01
3233,Oldways,"Boston, MA",Climate change and global warming are issues that demand innovation and a rethinking of the status quo at just about every level. Regenerative agriculture and whole grains are two climate-friendly paths forward. Read more: https://t.co/FIUCGOlCC3 https://t.co/zaGNSSIFTs,[],2021-11-30 11:00:25
3234,Dr. Russell Arnott,"Caerdydd, Wales","@CarolineLucas @SDoughtyMP it'd be brilliant if you could attend this debate - with Cardiff being one of the world's most at-risk cities, it's time we acted quickly &amp; decisively. 

https://t.co/EBuZ1b6oBd",[],2021-11-30 10:34:52
3235,Garrett Emery,,"I'm so excited for the next thing that whips us into a state of fear.

Red Scare
Cold War
Global Cooling
Global Warming 
AIDS
Terrorism
Covid
Climate Change
Our own Police
Russia again
Covid again

I imagine we'll soon learn Russian climate change is causing respiratory illness",[],2021-11-30 10:13:43
3236,CCC Philippines,Philippines,"The CCC welcomed the sustainability efforts of the Aboitiz Group, in line with the National Climate Change Action Plan (NCCAP) during the celebration of the 14th Global Warming and Climate Change Consciousness Week, held from November 19 to 29.

Read more: https://t.co/dhMtQ0DZgw https://t.co/mScwmoSEk3",[],2021-11-30 10:04:36
3237,JBMedical💙,UK,"Brilliant #dataviz from @neilrkaye, this picture speaks 1,000 words. Shows the impact of global warming on climate change and it's a grim view #communication https://t.co/a7SAjqgjp2","[{'text': 'dataviz', 'indices': [10, 18]}, {'text': 'communication', 'indices': [143, 157]}]",2021-11-30 09:49:47
3238,Future Power Generation LLC,global,"Exxon lobbyist questions urgency of climate’s catastrophic risks: ExxonMobil says it backs the scientific consensus on climate change. But one executive cast doubt about global warming’s impact while speaking to state regulators earlier this month,… https://t.co/nEx44WmXXt",[],2021-11-30 09:45:07
3239,"Tom Gillispie, LET'S KEEP NATURE LOOKING NATURAL","Rural Hall, NC","#climate Links to CLIMATE CHANGE AND SHRINKING COASTLINES  #global_warming #shrinking_coastlines #climate_science #climate_change #MammothSteppe #rising_sea_levels #preserve_nature
https://t.co/iWBKUb8cKA https://t.co/iMNMNrA6dS","[{'text': 'climate', 'indices': [0, 8]}, {'text': 'global_warming', 'indices': [59, 74]}, {'text': 'shrinking_coastlines', 'indices': [75, 96]}, {'text': 'climate_science', 'indices': [97, 113]}, {'text': 'climate_change', 'indices': [114, 129]}, {'text': 'MammothSteppe', 'indices': [130, 144]}, {'text': 'rising_sea_levels', 'indices': [145, 163]}, {'text': 'preserve_nature', 'indices': [164, 180]}]",2021-11-30 09:35:33
3240,WakeUpKiwi,New Zealand,"Discovery Of Massive Volcanic CO2 Emissions Puts Damper On Global Warming Theory &amp; Climate Change Hoax Collapses As New Science Finds Human Activity Has Virtually Zero Impact On Global Temperatures
https://t.co/I96PUkRBcP https://t.co/EgSIbArCzp",[],2021-11-30 09:34:23
3241,Uday Gunjikar ⭐️⭐️⭐️⭐️⭐️👍🏼😀🇺🇸,"Sunnyvale, CA, USA","'... that venerates Darwinism and the doctrine of Climate Change (previously known as “Global Warming”) as its sacred texts, and that heralds the coming of its new messiah — Artificial Intelligence (or AI)!'",[],2021-11-30 09:10:34
3242,Ocker O'Reilly,,YES Small Modular Reactors #SMR's &amp; #Thorium #Nuclear Energy #Auspol! Only #NuclearEnergy can transform the planet's #plutonium into that 24/7 Reliable ULTRA Low CO2 electricity we need https://t.co/w3oKGjDbPu,"[{'text': 'SMR', 'indices': [27, 31]}, {'text': 'Thorium', 'indices': [40, 48]}, {'text': 'Nuclear', 'indices': [49, 57]}, {'text': 'Auspol', 'indices': [65, 72]}, {'text': 'NuclearEnergy', 'indices': [79, 93]}, {'text': 'plutonium', 'indices': [121, 131]}]",2021-11-30 09:03:54
3243,Tsinghua University,Beijing,"After #COP26, Guan Dabo, a Distinguished Professor of Climate Change Economics at Department of Earth System Science, Tsinghua University, told CGTN that the global warming effect will be much stronger at 2 ℃ compared with 1.5 ℃. Check his interview at: https://t.co/wxjCvKWMI5 https://t.co/zKevt61k3X","[{'text': 'COP26', 'indices': [6, 12]}]",2021-11-30 09:00:00
3244,StateStatus OR,"Oregon, USA",Researchers are asking Oregonians to take photos to help document sea-level rise during king tide event - OPB News https://t.co/tgo92rIAzE,[],2021-11-30 08:53:40
3245,Abdi Mohammed,"Nairobi, Eastleigh","Global warming due to CO2 emissions — which according to the UN have increased by almost 50% since 1990 — is accelerating climate change &amp; threatens the survival of millions of people, plants &amp; animals by causing meteorological events like droughts, fires and floods, frequently",[],2021-11-30 08:34:54
3246,Woodland Trust🌳,"Grantham, Lincolnshire, UK","@fernox628 Hi, there is currently a scientific consensus that human activities are causing global warming. You can read our position statement on climate change and the threat it poses to the UK's woods and wildlife here: https://t.co/J96WcU3a7d",[],2021-11-30 08:33:07
3247,Abdi Mohammed,"Nairobi, Eastleigh","Global warming causes climate change, which poses a serious threat to life on earth in the forms of widespread flooding and extreme weather.",[],2021-11-30 08:29:52
3248,C4ward,"New Zealand, United Kingdom, United States, Germany",2021 SkS Weekly Climate Change &amp;amp; Global Warming News Round https://t.co/pwjfuHNxpD #climatechange,"[{'text': 'climatechange', 'indices': [91, 105]}]",2021-11-30 08:11:06
3249,AshX 🇿🇦🌍🛤️,"Terra, firma. ",@Nc1908Neil @PeterDClack @MrsD08486981 I think you confused between Global Warming and Climate Change. I believe the latter is natural in origin and severely accelerated anthropogenically over the last 60 years,[],2021-11-30 07:54:10
3250,Science in Poland,Poland,"Poland can expect more days of extreme heat, fewer very frosty days and slightly more rainfall, say scientists analysing climate change. #GlobalWarming #climatechange @USinKatowice 

https://t.co/b0rvvcTsXd","[{'text': 'GlobalWarming', 'indices': [137, 151]}, {'text': 'climatechange', 'indices': [152, 166]}]",2021-11-30 07:48:00
